year,contract_month,client_segment_id,customer_type_id,entity_id,family_id,counterpart_id,contract_collateral_type,local_curr_orig_risk_amount,euribor_12m_pct,euribor_3m_pct,tedr_pct,spread_pct,spread_pct_real,ref_pct,m_freq,inflation_rate,gdp_growth,unemployment_rate,euribor_ref_pct,log_importe,euribor_sq,tedr_pred_pct,spread_pred
2010,12,PARTICULARES,PERSONA F,BANCO COMERCIAL,TARJETA,TARJETA_CLASICA,NINGUNO,5073.95,1.526,,19.3205,16.269,0.0,1.526,12,1.8,0.07,20.21,1.526,8.532071951644706,2.328676,4.1490340238856245,0.0
2010,8,PYMES,JU,BANCO COMERCIAL,COMERC,LINEA DE CREDITO,PERSONAL,76435.71,,0.896,3.7607,2.819,0.0,0.8960000000000001,3,1.8,-0.05,20.08,0.896,11.244218357134908,0.8028160000000001,4.249563696763504,0.0
2010,8,PARTICULARES,PERSONA F,FINANCIERA DE CONSUMO,PRESTAMOS,PRESTAMO_PERSONAL,PERSONAL,6958.89,1.421,,7.107,5.464,0.0,1.421,12,1.8,-0.05,20.08,1.421,8.847918948605871,2.019241,4.249563696763504,0.0
2010,8,PYMES,JU,BANCO COMERCIAL,COMERC,LINEA DE CREDITO,PERSONAL,26733.64,,0.896,3.7607,2.819,0.0,0.8960000000000001,3,1.8,-0.05,20.08,0.896,10.193715381797501,0.8028160000000001,4.249563696763504,0.0
2010,3,PARTICULARES,PERSONA F,FINANCIERA DE CONSUMO,PRESTAMOS,PRESTAMO_PERSONAL,PERSONAL,19308.59,1.215,,9.1616,7.583,0.0,1.215,12,1.8,0.15,19.29,1.215,9.868357142675137,1.4762250000000001,4.082014241967039,0.0
2010,6,PARTICULARES,PERSONA F,BANCO COMERCIAL,HIPOTECAS,TIPO_FIJO,INMUEBLES,121599.82,1.281,,2.3586,1.052,0.0,1.281,12,1.8,0.21,19.91,1.281,11.708498991912519,1.640961,4.0317494055281,0.0
2010,7,PYMES,JU,BANCO COMERCIAL,COMERC,LINEA DE CREDITO,PERSONAL,101335.95,,0.849,3.7807,2.885,0.0,0.849,3,1.8,-0.05,20.08,0.849,11.526206381872822,0.7208009999999999,4.249563696763504,0.0
2010,7,CORPORATIVO,JU,BANCA E INVERSION/MAYORISTA,SINDICA,PRESTAMO SINDICADO,MOBILIARIA(ACCIONES/FONDO),4115200.53,,0.849,2.3514,1.484,0.0,0.849,3,1.8,-0.05,20.08,0.849,15.230198365377692,0.7208009999999999,4.249563696763504,0.0
2010,8,PARTICULARES,PERSONA F,BANCO COMERCIAL,HIPOTECAS,TIPO_VARIABLE,INMUEBLES,184179.82,1.421,,2.5534,1.103,0.0,1.421,12,1.8,-0.05,20.08,1.421,12.123673271431807,2.019241,4.249563696763504,0.0
2010,9,CORPORATIVO,JU,BANCA E INVERSION/MAYORISTA,SINDICA,PRESTAMO SINDICADO,MOBILIARIA(ACCIONES/FONDO),4019027.92,,0.88,2.2169,1.321,0.0,0.88,3,1.8,-0.05,20.08,0.88,15.206550869225303,0.7744,4.249563696763504,0.0
2010,12,PARTICULARES,PERSONA F,FINANCIERA DE CONSUMO,PRESTAMOS,PRESTAMO_PERSONAL,PERSONAL,30299.77,1.526,,6.9232,5.187,0.0,1.526,12,1.8,0.07,20.21,1.526,10.318928403715821,2.328676,4.1490340238856245,0.0
2010,5,PARTICULARES,PERSONA F,BANCO COMERCIAL,HIPOTECAS,TIPO_VARIABLE,INMUEBLES,206260.49,1.249,,2.4174,1.142,0.0,1.249,12,1.8,0.21,19.91,1.249,12.236900011736143,1.5600010000000002,4.0317494055281,0.0
2010,9,CORPORATIVO,JU,BANCA E INVERSION/MAYORISTA,SINDICA,PRESTAMO SINDICADO,MOBILIARIA(ACCIONES/FONDO),11246465.33,,0.88,2.2169,1.321,0.0,0.88,3,1.8,-0.05,20.08,0.88,16.23556453327371,0.7744,4.249563696763504,0.0
2010,8,PARTICULARES,PERSONA F,FINANCIERA DE CONSUMO,PRESTAMOS,PRESTAMO_PERSONAL,PERSONAL,8314.23,1.421,,7.107,5.464,0.0,1.421,12,1.8,-0.05,20.08,1.421,9.025844052098352,2.019241,4.249563696763504,0.0
2010,7,PARTICULARES,PERSONA F,FINANCIERA DE CONSUMO,PRESTAMOS,PRESTAMO_PERSONAL,PERSONAL,13358.35,1.373,,6.9217,5.338,0.0,1.373,12,1.8,-0.05,20.08,1.373,9.499971793212445,1.885129,4.249563696763504,0.0
2010,8,PARTICULARES,PERSONA F,FINANCIERA DE CONSUMO,PRESTAMOS,PRESTAMO_PERSONAL,PERSONAL,26208.26,1.421,,7.107,5.464,0.0,1.421,12,1.8,-0.05,20.08,1.421,10.173868062420215,2.019241,4.249563696763504,0.0
2010,9,PARTICULARES,PERSONA F,BANCO COMERCIAL,TARJETA,TARJETA_CLASICA,NINGUNO,2325.97,1.42,,19.2937,16.352,0.0,1.42,12,1.8,-0.05,20.08,1.42,7.75232227108339,2.0164,4.249563696763504,0.0
2010,1,PARTICULARES,PERSONA F,FINANCIERA DE CONSUMO,PRESTAMOS,PRESTAMO_PERSONAL,PERSONAL,5373.14,1.232,,10.1531,8.477,0.0,1.232,12,1.8,0.15,19.29,1.232,8.589353840194498,1.517824,4.082014241967039,0.0
2010,11,PYMES,JU,BANCO COMERCIAL,COMERC,LINEA DE CREDITO,PERSONAL,117225.84,,1.042,3.9707,2.877,0.0,1.042,3,1.8,0.07,20.21,1.042,11.671866140145115,1.0857640000000002,4.1490340238856245,0.0
