year,contract_month,client_segment_id,customer_type_id,entity_id,family_id,counterpart_id,contract_collateral_type,local_curr_orig_risk_amount,euribor_12m_pct,euribor_3m_pct,tedr_pct,spread_pct,spread_pct_real,ref_pct,m_freq,inflation_rate,gdp_growth,unemployment_rate
2018,2,PARTICULARES,PERSONA F,BANCO COMERCIAL,TARJETA,TARJETA_CLASICA,NINGUNO,5424.78,-0.191,,20.716,19.167,19.167,-0.191,12,11.04,-3.26,11.85
2018,10,PARTICULARES,PERSONA F,BANCO COMERCIAL,TARJETA,TARJETA_CLASICA,NINGUNO,1466.25,-0.154,,20.2136,18.706,18.706,-0.154,12,10.95,-2.88,15.16
2018,4,CORPORATIVO,JU,BANCA E INVERSION/MAYORISTA,SINDICA,PRESTAMO SINDICADO,MOBILIARIA(ACCIONES/FONDO),10425649.18,,-0.328,1.6468,1.966,1.966,-0.328,3,0.86,2.6,12.19
2018,3,PYMES,JU,BANCO COMERCIAL,COMERC,LINEA DE CREDITO,PERSONAL,57871.74,,-0.328,2.2722,2.583,2.583,-0.328,3,2.83,2.86,10.43
2018,6,PYMES,JU,BANCO COMERCIAL,COMERC,LINEA DE CREDITO,PERSONAL,51636.38,,-0.322,2.1647,2.471,2.471,-0.322,3,1.87,2.93,10.15
2018,2,CORPORATIVO,JU,BANCA E INVERSION/MAYORISTA,SINDICA,PRESTAMO SINDICADO,MOBILIARIA(ACCIONES/FONDO),12097256.64,,-0.328,1.6436,1.963,1.963,-0.328,3,2.13,2.04,10.12
2018,2,PARTICULARES,PERSONA F,BANCO COMERCIAL,TARJETA,TARJETA_CLASICA,NINGUNO,4760.61,-0.191,,20.716,19.167,19.167,-0.191,12,11.6,-2.04,15.25
2018,9,PYMES,JU,BANCO COMERCIAL,COMERC,LINEA DE CREDITO,PERSONAL,58226.64,,-0.319,2.114,2.418,2.418,-0.319,3,2.47,3.06,8.87
2018,7,PARTICULARES,PERSONA F,FINANCIERA DE CONSUMO,PRESTAMOS,PRESTAMO_PERSONAL,PERSONAL,28564.94,-0.18,,7.3776,7.319,7.319,-0.18,12,5.41,1.16,11.24
2018,9,PARTICULARES,PERSONA F,FINANCIERA DE CONSUMO,PRESTAMOS,PRESTAMO_PERSONAL,PERSONAL,8668.41,-0.166,,7.5295,7.448,7.448,-0.166,12,5.57,1.8,10.22
2018,7,CORPORATIVO,JU,BANCA E INVERSION/MAYORISTA,SINDICA,PRESTAMO SINDICADO,MOBILIARIA(ACCIONES/FONDO),5617033.81,,-0.321,1.6414,1.954,1.954,-0.321,3,1.81,3.43,10.02
2018,5,PYMES,JU,BANCO COMERCIAL,COMERC,LINEA DE CREDITO,PERSONAL,43907.48,,-0.325,2.1628,2.472,2.472,-0.325,3,2.37,2.17,11.7
2018,11,PYMES,JU,BANCO COMERCIAL,COMERC,LINEA DE CREDITO,PERSONAL,31880.32,,-0.316,2.1353,2.436,2.436,-0.316,3,1.8,2.32,9.77
2018,12,PARTICULARES,PERSONA F,BANCO COMERCIAL,HIPOTECAS,TIPO_VARIABLE,INMUEBLES,386351.07,-0.129,,1.9905,2.102,2.102,-0.129,12,1.83,2.75,10.0
2018,9,PARTICULARES,PERSONA F,BANCO COMERCIAL,HIPOTECAS,TIPO_FIJO,INMUEBLES,361706.44,-0.166,,1.96,2.109,2.109,-0.166,12,2.23,3.1,10.33
2018,5,PYMES,JU,BANCO COMERCIAL,COMERC,LINEA DE CREDITO,PERSONAL,30830.43,,-0.325,2.1628,2.472,2.472,-0.325,3,3.18,2.35,10.07
2018,8,CORPORATIVO,JU,BANCA E INVERSION/MAYORISTA,SINDICA,PRESTAMO SINDICADO,MOBILIARIA(ACCIONES/FONDO),8566254.17,,-0.319,1.5215,1.833,1.833,-0.319,3,1.9,2.6,11.92
2018,6,CORPORATIVO,JU,BANCA E INVERSION/MAYORISTA,SINDICA,PRESTAMO SINDICADO,MOBILIARIA(ACCIONES/FONDO),5076584.19,,-0.322,1.6726,1.985,1.985,-0.322,3,1.91,3.15,10.28
2018,5,PARTICULARES,PERSONA F,FINANCIERA DE CONSUMO,PRESTAMOS,PRESTAMO_PERSONAL,PERSONAL,9098.02,-0.188,,7.7188,7.646,7.646,-0.188,12,4.26,1.6,10.05
2018,5,PYMES,JU,BANCO COMERCIAL,COMERC,LINEA DE CREDITO,PERSONAL,76477.73,,-0.325,2.1628,2.472,2.472,-0.325,3,2.26,2.58,10.3
2018,5,PARTICULARES,PERSONA F,BANCO COMERCIAL,HIPOTECAS,TIPO_FIJO,INMUEBLES,398339.64,-0.188,,1.9401,2.111,2.111,-0.188,12,2.07,3.11,7.61
2018,3,PARTICULARES,PERSONA F,FINANCIERA DE CONSUMO,PRESTAMOS,PRESTAMO_PERSONAL,PERSONAL,17976.08,-0.191,,7.6285,7.565,7.565,-0.191,12,4.35,2.3,10.53
2018,1,PARTICULARES,PERSONA F,FINANCIERA DE CONSUMO,PRESTAMOS,PRESTAMO_PERSONAL,PERSONAL,12746.26,-0.189,,7.7186,7.647,7.647,-0.189,12,5.41,1.16,9.92
2018,4,PARTICULARES,PERSONA F,FINANCIERA DE CONSUMO,PRESTAMOS,PRESTAMO_PERSONAL,PERSONAL,12911.31,-0.19,,7.8625,7.783,7.783,-0.19,12,4.5,0.45,12.99
2018,3,CORPORATIVO,JU,BANCA E INVERSION/MAYORISTA,SINDICA,PRESTAMO SINDICADO,MOBILIARIA(ACCIONES/FONDO),14191375.3,,-0.328,1.5954,1.915,1.915,-0.328,3,1.16,2.84,10.49
2018,5,PYMES,JU,BANCO COMERCIAL,COMERC,LINEA DE CREDITO,PERSONAL,62804.99,,-0.325,2.1628,2.472,2.472,-0.325,3,2.08,3.31,11.72
2018,8,PARTICULARES,PERSONA F,FINANCIERA DE CONSUMO,PRESTAMOS,PRESTAMO_PERSONAL,PERSONAL,10492.71,-0.169,,7.5597,7.479,7.479,-0.169,12,4.61,1.19,11.02
2018,9,CORPORATIVO,JU,BANCA E INVERSION/MAYORISTA,SINDICA,PRESTAMO SINDICADO,MOBILIARIA(ACCIONES/FONDO),6109624.92,,-0.319,1.6072,1.918,1.918,-0.319,3,2.49,3.65,10.79
2018,11,CORPORATIVO,JU,BANCA E INVERSION/MAYORISTA,SINDICA,PRESTAMO SINDICADO,MOBILIARIA(ACCIONES/FONDO),4549748.44,,-0.316,1.7636,2.069,2.069,-0.316,3,1.45,4.42,9.27
2018,11,CORPORATIVO,JU,BANCA E INVERSION/MAYORISTA,SINDICA,PRESTAMO SINDICADO,MOBILIARIA(ACCIONES/FONDO),8732637.37,,-0.316,1.7636,2.069,2.069,-0.316,3,0.94,1.95,10.44
2018,7,PARTICULARES,PERSONA F,BANCO COMERCIAL,HIPOTECAS,TIPO_FIJO,INMUEBLES,395568.99,-0.18,,1.8915,2.055,2.055,-0.18,12,3.11,3.08,10.26
2018,2,PARTICULARES,PERSONA F,BANCO COMERCIAL,TARJETA,TARJETA_CLASICA,NINGUNO,3277.5,-0.191,,20.716,19.167,19.167,-0.191,12,11.74,-2.13,14.23
2018,1,PARTICULARES,PERSONA F,FINANCIERA DE CONSUMO,PRESTAMOS,PRESTAMO_PERSONAL,PERSONAL,13491.12,-0.189,,7.7186,7.647,7.647,-0.189,12,5.05,1.85,10.43
2018,2,PYMES,JU,BANCO COMERCIAL,COMERC,LINEA DE CREDITO,PERSONAL,100279.72,,-0.328,2.2379,2.549,2.549,-0.328,3,2.04,2.13,9.86
2018,1,PARTICULARES,PERSONA F,BANCO COMERCIAL,HIPOTECAS,TIPO_VARIABLE,INMUEBLES,81575.85,-0.189,,1.9406,2.113,2.113,-0.189,12,1.47,1.95,9.29
2018,3,PYMES,JU,BANCO COMERCIAL,COMERC,LINEA DE CREDITO,PERSONAL,81320.38,,-0.328,2.2722,2.583,2.583,-0.328,3,1.84,2.48,10.36
2018,6,PYMES,JU,BANCO COMERCIAL,COMERC,LINEA DE CREDITO,PERSONAL,65179.04,,-0.322,2.1647,2.471,2.471,-0.322,3,2.25,2.3,11.4
2018,2,PARTICULARES,PERSONA F,BANCO COMERCIAL,TARJETA,TARJETA_CLASICA,NINGUNO,5226.29,-0.191,,20.716,19.167,19.167,-0.191,12,10.58,-3.26,12.62
2018,8,PARTICULARES,PERSONA F,FINANCIERA DE CONSUMO,PRESTAMOS,PRESTAMO_PERSONAL,PERSONAL,11460.74,-0.169,,7.5597,7.479,7.479,-0.169,12,5.05,0.69,10.75
2018,6,PYMES,JU,BANCO COMERCIAL,COMERC,LINEA DE CREDITO,PERSONAL,33009.63,,-0.322,2.1647,2.471,2.471,-0.322,3,1.67,3.77,9.86
2018,9,PARTICULARES,PERSONA F,BANCO COMERCIAL,HIPOTECAS,TIPO_FIJO,INMUEBLES,379743.66,-0.166,,1.96,2.109,2.109,-0.166,12,1.31,2.14,9.51
2018,11,PARTICULARES,PERSONA F,BANCO COMERCIAL,TARJETA,TARJETA_CLASICA,NINGUNO,5002.3,-0.147,,19.9963,18.515,18.515,-0.147,12,10.65,-2.06,15.49
2018,4,PYMES,JU,BANCO COMERCIAL,COMERC,LINEA DE CREDITO,PERSONAL,78732.86,,-0.328,2.1797,2.492,2.492,-0.328,3,1.86,2.43,11.38
2018,4,PARTICULARES,PERSONA F,BANCO COMERCIAL,TARJETA,TARJETA_CLASICA,NINGUNO,5936.68,-0.19,,20.6623,19.12,19.12,-0.19,12,11.46,-1.45,15.43
2018,4,PARTICULARES,PERSONA F,BANCO COMERCIAL,HIPOTECAS,TIPO_FIJO,INMUEBLES,308190.6,-0.19,,1.9749,2.147,2.147,-0.19,12,0.95,3.11,8.23
2018,10,PYMES,JU,BANCO COMERCIAL,COMERC,LINEA DE CREDITO,PERSONAL,22254.06,,-0.318,2.1079,2.411,2.411,-0.318,3,2.08,2.36,10.1
2018,8,PARTICULARES,PERSONA F,BANCO COMERCIAL,HIPOTECAS,TIPO_FIJO,INMUEBLES,334834.44,-0.169,,2.0291,2.179,2.179,-0.169,12,1.52,3.05,10.29
2018,10,PARTICULARES,PERSONA F,BANCO COMERCIAL,TARJETA,TARJETA_CLASICA,NINGUNO,5057.85,-0.154,,20.2136,18.706,18.706,-0.154,12,10.76,-2.35,13.93
2018,4,PARTICULARES,PERSONA F,BANCO COMERCIAL,HIPOTECAS,TIPO_VARIABLE,INMUEBLES,345223.47,-0.19,,1.9749,2.147,2.147,-0.19,12,2.02,2.61,11.21
2018,6,PARTICULARES,PERSONA F,BANCO COMERCIAL,TARJETA,TARJETA_CLASICA,NINGUNO,5617.02,-0.181,,20.6209,19.076,19.076,-0.181,12,11.36,-2.95,13.71
2018,6,PARTICULARES,PERSONA F,BANCO COMERCIAL,TARJETA,TARJETA_CLASICA,NINGUNO,1668.03,-0.181,,20.6209,19.076,19.076,-0.181,12,10.88,-3.49,14.18
2018,4,PARTICULARES,PERSONA F,BANCO COMERCIAL,TARJETA,TARJETA_CLASICA,NINGUNO,4026.19,-0.19,,20.6623,19.12,19.12,-0.19,12,11.23,-3.44,13.04
2018,1,PYMES,JU,BANCO COMERCIAL,COMERC,LINEA DE CREDITO,PERSONAL,64163.8,,-0.328,2.2848,2.596,2.596,-0.328,3,1.52,2.68,9.2
2018,1,PYMES,JU,BANCO COMERCIAL,COMERC,LINEA DE CREDITO,PERSONAL,148143.49,,-0.328,2.2848,2.596,2.596,-0.328,3,1.59,2.6,7.98
2018,2,PYMES,JU,BANCO COMERCIAL,COMERC,LINEA DE CREDITO,PERSONAL,57642.48,,-0.328,2.2379,2.549,2.549,-0.328,3,2.03,2.29,9.04
2018,7,PYMES,JU,BANCO COMERCIAL,COMERC,LINEA DE CREDITO,PERSONAL,138411.92,,-0.321,2.1099,2.416,2.416,-0.321,3,0.98,2.26,10.3
2018,9,CORPORATIVO,JU,BANCA E INVERSION/MAYORISTA,SINDICA,PRESTAMO SINDICADO,MOBILIARIA(ACCIONES/FONDO),8473329.58,,-0.319,1.6072,1.918,1.918,-0.319,3,1.65,2.97,11.8
2018,2,PYMES,JU,BANCO COMERCIAL,COMERC,LINEA DE CREDITO,PERSONAL,93772.99,,-0.328,2.2379,2.549,2.549,-0.328,3,1.84,3.16,9.67
2018,3,PARTICULARES,PERSONA F,FINANCIERA DE CONSUMO,PRESTAMOS,PRESTAMO_PERSONAL,PERSONAL,27879.39,-0.191,,7.6285,7.565,7.565,-0.191,12,5.04,0.88,10.35
2018,7,PARTICULARES,PERSONA F,BANCO COMERCIAL,TARJETA,TARJETA_CLASICA,NINGUNO,2299.46,-0.18,,20.5934,19.052,19.052,-0.18,12,11.36,-2.26,13.53
2018,9,PYMES,JU,BANCO COMERCIAL,COMERC,LINEA DE CREDITO,PERSONAL,145166.15,,-0.319,2.114,2.418,2.418,-0.319,3,1.86,3.33,10.46
2018,3,PARTICULARES,PERSONA F,FINANCIERA DE CONSUMO,PRESTAMOS,PRESTAMO_PERSONAL,PERSONAL,20697.15,-0.191,,7.6285,7.565,7.565,-0.191,12,5.41,1.07,12.28
2018,11,PARTICULARES,PERSONA F,FINANCIERA DE CONSUMO,PRESTAMOS,PRESTAMO_PERSONAL,PERSONAL,31770.34,-0.147,,6.7517,6.698,6.698,-0.147,12,4.33,1.16,12.46
2018,6,PYMES,JU,BANCO COMERCIAL,COMERC,LINEA DE CREDITO,PERSONAL,147922.78,,-0.322,2.1647,2.471,2.471,-0.322,3,2.54,3.0,12.04
2018,6,CORPORATIVO,JU,BANCA E INVERSION/MAYORISTA,SINDICA,PRESTAMO SINDICADO,MOBILIARIA(ACCIONES/FONDO),1583195.67,,-0.322,1.6726,1.985,1.985,-0.322,3,1.86,3.58,9.61
2018,8,PARTICULARES,PERSONA F,BANCO COMERCIAL,TARJETA,TARJETA_CLASICA,NINGUNO,3608.6,-0.169,,20.5304,18.988,18.988,-0.169,12,10.92,-3.02,16.12
2018,11,PARTICULARES,PERSONA F,BANCO COMERCIAL,HIPOTECAS,TIPO_FIJO,INMUEBLES,371041.93,-0.147,,2.0276,2.156,2.156,-0.147,12,1.49,1.87,9.11
2018,9,CORPORATIVO,JU,BANCA E INVERSION/MAYORISTA,SINDICA,PRESTAMO SINDICADO,MOBILIARIA(ACCIONES/FONDO),5076883.31,,-0.319,1.6072,1.918,1.918,-0.319,3,1.74,2.19,9.35
2018,11,PARTICULARES,PERSONA F,FINANCIERA DE CONSUMO,PRESTAMOS,PRESTAMO_PERSONAL,PERSONAL,24418.45,-0.147,,6.7517,6.698,6.698,-0.147,12,4.75,1.61,11.44
2018,3,CORPORATIVO,JU,BANCA E INVERSION/MAYORISTA,SINDICA,PRESTAMO SINDICADO,MOBILIARIA(ACCIONES/FONDO),1554832.99,,-0.328,1.5954,1.915,1.915,-0.328,3,1.99,2.65,9.49
2018,12,PARTICULARES,PERSONA F,BANCO COMERCIAL,TARJETA,TARJETA_CLASICA,NINGUNO,3794.94,-0.129,,19.98,18.483,18.483,-0.129,12,10.79,-2.16,13.87
2018,11,PYMES,JU,BANCO COMERCIAL,COMERC,LINEA DE CREDITO,PERSONAL,123353.27,,-0.316,2.1353,2.436,2.436,-0.316,3,2.15,2.65,9.82
2018,8,CORPORATIVO,JU,BANCA E INVERSION/MAYORISTA,SINDICA,PRESTAMO SINDICADO,MOBILIARIA(ACCIONES/FONDO),6714215.84,,-0.319,1.5215,1.833,1.833,-0.319,3,1.01,3.8,10.49
